	cocoid	url	caption
47	366109	http://mscoco.org/images/366109	 a man is sharpening a pair of scissors in a machine.
48	368541	http://mscoco.org/images/368541	 a line of people waiting to board a jumbo jet.
49	388933	http://mscoco.org/images/388933	 a woman on a sidewalk holding a red and black umbrella.
50	389021	http://mscoco.org/images/389021	 a large apple ipod billboard fronts a building under renovation in a city.
51	391333	http://mscoco.org/images/391333	 an orange and white pilot boat moving through the water. 
52	391978	http://mscoco.org/images/391978	 a television in a bedroom turned on in the dark.
53	397664	http://mscoco.org/images/397664	 a man riding a bike down a street while recklessly talking on a cell phone.
54	401977	http://mscoco.org/images/401977	 a market place with people walking and kites hanging in front of the shop.
55	402531	http://mscoco.org/images/402531	 a smiling couple with their arms around each other at a party.
56	405007	http://mscoco.org/images/405007	 several people are walking through a town square.
57	408624	http://mscoco.org/images/408624	 a boat dock area with many boats of all sizes and colors.
58	409489	http://mscoco.org/images/409489	 one cat climbs onto the door of an oven to investigate another cat inside the oven.
59	424694	http://mscoco.org/images/424694	 a garage filled with emergency vehicles such as an ambulance and a fire truck. 
60	42947	http://mscoco.org/images/42947	 a man flying a kite with lot of people in the background.
61	433232	http://mscoco.org/images/433232	 a large blue promotional bus with cheerleaders riding on top.
62	439439	http://mscoco.org/images/439439	 a vintage refrigerator left opened displaying the food inside.
63	441453	http://mscoco.org/images/441453	 a man is sitting on a motorcycle while a young girl looks at a helmet.
64	44372	http://mscoco.org/images/44372	 a room with a computer
65	448509	http://mscoco.org/images/448509	 a bunch of people are eating donuts and drinking cider.
66	456886	http://mscoco.org/images/456886	 a harley davidson store with motorcycles surrounding it.
67	457986	http://mscoco.org/images/457986	 a living room and kitchenette done in greens and earth tones. 
68	458572	http://mscoco.org/images/458572	 a few giraffes are eating leaves off of trees.
69	469026	http://mscoco.org/images/469026	 the blue car is on the street near the bus.
70	473712	http://mscoco.org/images/473712	 five meter readers on a sidewalk of a shopping center. 
71	489550	http://mscoco.org/images/489550	 a small table set with pastries and tea.
72	490318	http://mscoco.org/images/490318	 a man drives a group of cattle up a windy mountain street.
73	494771	http://mscoco.org/images/494771	 many candles are placed on a table in front of a painting.
74	504852	http://mscoco.org/images/504852	 a man with a bow tie standing in front of a man with a cap on. 
75	509864	http://mscoco.org/images/509864	 a group of people sitting at a table with plates of food.
76	515878	http://mscoco.org/images/515878	 there is a black refrigerator in the corner of the small kitchen.
77	518157	http://mscoco.org/images/518157	 the man on the skateboard stopped to talk to some friends.
78	522146	http://mscoco.org/images/522146	 there is a orange and blue boat that is passing by a raft.
79	522897	http://mscoco.org/images/522897	 a hotel room with two beds and two chairs.
80	527573	http://mscoco.org/images/527573	 a man is standing in front of a statue.
81	530433	http://mscoco.org/images/530433	 a double decker bus driving on a snowy day.
82	530896	http://mscoco.org/images/530896	 a man parking his bicycle in a designated area on a city street.
83	532132	http://mscoco.org/images/532132	 a man standing in front of a counter filled with doughnuts.
84	534734	http://mscoco.org/images/534734	 a temporary tennis court has been erected in the town square.
85	536514	http://mscoco.org/images/536514	 a crowded computer desk with a monitor and laptop displaying the same background.
86	536648	http://mscoco.org/images/536648	 two water skiers flying in the air while a small crowd watches.
87	53800	http://mscoco.org/images/53800	 a father and son play a video game on the nintendo wii.
88	538742	http://mscoco.org/images/538742	 train tracks running under a traffic signal beside some buildings.
89	54589	http://mscoco.org/images/54589	 a metallic silver fire hydrant near a building.
90	548713	http://mscoco.org/images/548713	 a horse drawn carriage parked on the side of a road.
91	5587	http://mscoco.org/images/5587	 three tiers of plates with different sandwiches on it
92	572565	http://mscoco.org/images/572565	 a table with two plates and blue cups on top of them.
93	57361	http://mscoco.org/images/57361	 a view of a street city in the middle of the day.
94	612	http://mscoco.org/images/612	 a group of teddy bears laying on top of a red bed.
95	67727	http://mscoco.org/images/67727	 the bathroom mirror is above a wooden sink counter.
96	69856	http://mscoco.org/images/69856	 a yellow suv taxi cab driving past very tall buildings.
97	71826	http://mscoco.org/images/71826	 a group of people are sitting around a table with food and wine.
98	78553	http://mscoco.org/images/78553	 a busy train station where passengers board and exit.
99	79106	http://mscoco.org/images/79106	 a sidewalk with a bunch of different signs on it.
100	8369	http://mscoco.org/images/8369	 the woman is in her bathing suit and flying a kite on a beach.
101	83770	http://mscoco.org/images/83770	 it is raining as traffic flows on this busy one-way street.
102	86435	http://mscoco.org/images/86435	 a kitchen is filled with appliances and plants.
103	91500	http://mscoco.org/images/91500	 two kids hanging out playing video games on folding chairs.
